X,Y,NAME_LONG,ISO_A3,X_CENTER,Y_CENTER
-10.33,20.21,Mauritania,MRT,-10.330000000000000,20.210000000000001
34.19,-13.17,Malawi,MWI,34.189999999999998,-13.170000000000000
102.8870667259249,3.297777387037745,Malaysia,MYS,109.700000000000000,3.730000000000000
17.16,-22.1,Namibia,NAM,17.160000000000000,-22.100000000000001
165.53,-21.26,New Caledonia,NCL,165.530000000000000,-21.260000000000002
9.32,17.35,Niger,NER,9.320000000000000,17.350000000000001
8.0,9.55,Nigeria,NGA,8.000000000000000,9.550000000000001
-85.02,12.85,Nicaragua,NIC,-85.019999999999996,12.850000000000000
5.51,52.3,Netherlands,NLD,5.510000000000000,52.299999999999997
7.631708875311587,59.767298831548111,Norway,NOR,15.470000000000001,69.159999999999997
84.01,28.24,Nepal,NPL,84.010000000000005,28.239999999999998
172.7,-41.66,New Zealand,NZL,172.699999999999990,-41.659999999999997
56.920286280490657,20.096751216976404,Oman,OMN,56.100000000000001,20.609999999999999
69.41,29.97,Pakistan,PAK,69.409999999999997,29.969999999999999
-80.11,8.53,Panama,PAN,-80.109999999999999,8.529999999999999
-74.39,-9.19,Peru,PER,-74.390000000000001,-9.190000000000000
125.11021581132204,7.718648789035269,Philippines,PHL,122.900000000000010,11.760000000000000
145.32,-6.45,Papua New Guinea,PNG,145.319999999999990,-6.450000000000000
19.31,52.15,Poland,POL,19.309999999999999,52.149999999999999
-66.48,18.24,Puerto Rico,PRI,-66.480000000000004,18.239999999999998
126.25857079945484,39.159210340394949,Dem. Rep. Korea,PRK,127.170000000000000,40.140000000000001
-8.06,39.63,Portugal,PRT,-8.060000000000001,39.630000000000003
-58.39,-23.25,Paraguay,PRY,-58.390000000000001,-23.250000000000000
35.27,31.94,Palestine,PSE,35.270000000000003,31.940000000000001
51.18,25.32,Qatar,QAT,51.180000000000000,25.320000000000000
24.94,45.86,Romania,ROU,24.940000000000001,45.859999999999999
56.047971815576574,58.525669355025748,Russian Federation,RUS,96.879999999999995,61.979999999999997
29.92,-2.01,Rwanda,RWA,29.920000000000002,-2.010000000000000
-12.14,24.29,Western Sahara,ESH,-12.140000000000001,24.289999999999999
44.52,24.12,Saudi Arabia,SAU,44.520000000000003,24.120000000000001
29.86,15.99,Sudan,SDN,29.859999999999999,15.990000000000000
30.2,7.29,South Sudan,SSD,30.199999999999999,7.290000000000000
-14.51,14.35,Senegal,SEN,-14.510000000000000,14.350000000000000
159.97,-8.85,Solomon Islands,SLB,159.970000000000000,-8.850000000000000
-11.8,8.53,Sierra Leone,SLE,-11.800000000000001,8.529999999999999
-88.87,13.73,El Salvador,SLV,-88.870000000000005,13.730000000000000
46.23,9.76,Somaliland,-99,46.229999999999997,9.760000000000000
45.73,4.75,Somalia,SOM,45.729999999999997,4.750000000000000
20.82,44.23,Serbia,SRB,20.820000000000000,44.229999999999997
-55.91,4.12,Suriname,SUR,-55.909999999999997,4.120000000000000
19.51,48.73,Slovakia,SVK,19.510000000000002,48.729999999999997
14.94,46.13,Slovenia,SVN,14.940000000000000,46.130000000000003
16.6,62.81,Sweden,SWE,16.600000000000001,62.810000000000002
31.4,-26.49,Swaziland,SWZ,31.399999999999999,-26.489999999999998
38.54,35.01,Syria,SYR,38.539999999999999,35.009999999999998
18.58,15.33,Chad,TCD,18.579999999999998,15.330000000000000
1.0,8.44,Togo,TGO,1.000000000000000,8.440000000000000
101.10114292005453,14.094122560688797,Thailand,THA,101.010000000000010,15.020000000000000
71.03,38.58,Tajikistan,TJK,71.030000000000001,38.579999999999998
59.28,39.09,Turkmenistan,TKM,59.280000000000001,39.090000000000003
125.97,-8.77,Timor-Leste,TLS,125.970000000000000,-8.770000000000000
-61.33,10.43,Trinidad and Tobago,TTO,-61.329999999999998,10.430000000000000
9.53,34.17,Tunisia,TUN,9.529999999999999,34.170000000000002
35.12,39.07,Turkey,TUR,35.119999999999997,39.070000000000000
120.97,23.74,Taiwan,TWN,120.970000000000000,23.739999999999998
34.75,-6.26,Tanzania,TZA,34.750000000000000,-6.260000000000000
32.36,1.3,Uganda,UGA,32.359999999999999,1.300000000000000
